Suburb,Rooms,Type,Method,SellerG,Distance,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount,month
Abbotsford,2,h,S,Biggin,2.5,1,1,202.0,Yarra City Council,Northern Metropolitan,4019.0,3
Abbotsford,2,h,S,Biggin,2.5,1,0,156.0,Yarra City Council,Northern Metropolitan,4019.0,4
Abbotsford,3,h,SP,Biggin,2.5,2,0,134.0,Yarra City Council,Northern Metropolitan,4019.0,4
Abbotsford,3,h,PI,Biggin,2.5,2,1,94.0,Yarra City Council,Northern Metropolitan,4019.0,4
Abbotsford,4,h,VB,Nelson,2.5,1,2,120.0,Yarra City Council,Northern Metropolitan,4019.0,4
Abbotsford,2,h,S,Jellis,2.5,1,0,181.0,Yarra City Council,Northern Metropolitan,4019.0,7
Abbotsford,3,h,S,Nelson,2.5,2,0,245.0,Yarra City Council,Northern Metropolitan,4019.0,7
Abbotsford,2,h,S,Nelson,2.5,1,2,256.0,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,3,h,S,Jellis,2.5,1,2,648.7162568807339,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,2,t,S,Jellis,2.5,1,2,286.9240214888718,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,1,u,S,Biggin,2.5,1,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,2,h,S,Biggin,2.5,1,2,220.0,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,2,u,S,Dingle,2.5,1,1,477.89685658153235,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,2,u,SP,Biggin,2.5,1,1,477.89685658153235,Yarra City Council,Northern Metropolitan,4019.0,10
Abbotsford,1,u,SP,Purplebricks,2.5,1,1,477.89685658153235,Yarra City Council,Northern Metropolitan,4019.0,10
Abbotsford,2,u,VB,Jellis,2.5,2,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,12
Abbotsford,3,h,VB,Nelson,2.5,2,2,214.0,Yarra City Council,Northern Metropolitan,4019.0,12
Abbotsford,2,u,S,Biggin,2.5,2,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,12
Abbotsford,4,h,S,Biggin,2.5,2,2,648.7162568807339,Yarra City Council,Northern Metropolitan,4019.0,12
Abbotsford,1,u,S,Biggin,2.5,1,1,477.89685658153235,Yarra City Council,Northern Metropolitan,4019.0,12
Abbotsford,2,h,S,Biggin,2.5,1,1,195.0,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,1,u,SP,Greg,2.5,1,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,5
Abbotsford,2,h,S,Jellis,2.5,1,2,238.0,Yarra City Council,Northern Metropolitan,4019.0,10
Abbotsford,3,h,S,Jellis,2.5,2,1,113.0,Yarra City Council,Northern Metropolitan,4019.0,7
Abbotsford,2,t,S,Jellis,2.5,1,2,286.9240214888718,Yarra City Council,Northern Metropolitan,4019.0,7
Abbotsford,3,h,S,LITTLE,2.5,1,1,138.0,Yarra City Council,Northern Metropolitan,4019.0,7
Abbotsford,3,h,S,Collins,2.5,1,0,183.0,Yarra City Council,Northern Metropolitan,4019.0,9
Abbotsford,2,h,S,Biggin,2.5,1,1,150.0,Yarra City Council,Northern Metropolitan,4019.0,9
Abbotsford,4,h,PI,Kay,2.5,2,2,780.0,Yarra City Council,Northern Metropolitan,4019.0,3
