Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount
Abbotsford,2,h,,SS,Jellis,3/09/2016,2.5,3067.0,1.0,1.0,126.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1480000.0,S,Biggin,3/12/2016,2.5,3067.0,1.0,1.0,202.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1035000.0,S,Biggin,4/02/2016,2.5,3067.0,1.0,0.0,156.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,u,,VB,Rounds,4/02/2016,2.5,3067.0,2.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1465000.0,SP,Biggin,4/03/2017,2.5,3067.0,2.0,0.0,134.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,850000.0,PI,Biggin,4/03/2017,2.5,3067.0,2.0,1.0,94.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4,h,1600000.0,VB,Nelson,4/06/2016,2.5,3067.0,1.0,2.0,120.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4,h,,SN,Nelson,6/08/2016,2.5,3067.0,2.0,2.0,400.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,,S,Biggin,6/08/2016,2.5,3067.0,1.0,2.0,201.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,,S,Collins,6/08/2016,2.5,3067.0,2.0,1.0,202.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,941000.0,S,Jellis,7/05/2016,2.5,3067.0,1.0,0.0,181.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1876000.0,S,Nelson,7/05/2016,2.5,3067.0,2.0,0.0,245.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,u,,PI,Biggin,7/11/2016,2.5,3067.0,2.0,1.0,4292.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4,h,,W,Biggin,7/11/2016,2.5,3067.0,2.0,0.0,230.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1636000.0,S,Nelson,8/10/2016,2.5,3067.0,1.0,2.0,256.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1000000.0,S,Jellis,8/10/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,t,745000.0,S,Jellis,8/10/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1,u,300000.0,S,Biggin,8/10/2016,2.5,3067.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1097000.0,S,Biggin,8/10/2016,2.5,3067.0,1.0,2.0,220.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,u,542000.0,S,Dingle,8/10/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,,SP,Biggin,10/12/2016,2.5,3067.0,1.0,1.0,176.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,u,760000.0,SP,Biggin,10/12/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1,u,481000.0,SP,Purplebricks,10/12/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,u,700000.0,VB,Jellis,12/11/2016,2.5,3067.0,2.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1350000.0,VB,Nelson,12/11/2016,2.5,3067.0,2.0,2.0,214.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,u,750000.0,S,Biggin,12/11/2016,2.5,3067.0,2.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4,h,1985000.0,S,Biggin,12/11/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1,u,500000.0,S,Biggin,12/11/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1172500.0,S,Biggin,13/08/2016,2.5,3067.0,1.0,1.0,195.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1,u,441000.0,SP,Greg,14/05/2016,2.5,3067.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1310000.0,S,Jellis,15/10/2016,2.5,3067.0,1.0,2.0,238.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,u,,PI,Philip,16/04/2016,2.5,3067.0,2.0,2.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1200000.0,S,Jellis,16/07/2016,2.5,3067.0,2.0,1.0,113.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,t,847000.0,S,Jellis,16/07/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,,PI,Biggin,16/07/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1176500.0,S,LITTLE,16/07/2016,2.5,3067.0,1.0,1.0,138.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,955000.0,S,Collins,17/09/2016,2.5,3067.0,1.0,0.0,183.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,890000.0,S,Biggin,17/09/2016,2.5,3067.0,1.0,1.0,150.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4,h,1330000.0,PI,Kay,18/03/2017,2.5,3067.0,2.0,2.0,780.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,,SP,Nelson,18/03/2017,2.5,3067.0,2.0,1.0,119.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,t,900000.0,S,Beller,18/03/2017,2.5,3067.0,2.0,2.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,u,1090000.0,S,Jellis,18/03/2017,2.5,3067.0,2.0,2.0,4290.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,u,500000.0,S,Collins,18/06/2016,2.5,3067.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067.0,2.0,1.0,124.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067.0,1.0,0.0,147.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1,u,480000.0,S,Biggin,19/11/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1,u,423500.0,S,hockingstuart,22/05/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4,h,,PI,Biggin,22/05/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1,u,426000.0,SP,Greg,22/08/2016,2.5,3067.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067.0,3.0,1.0,166.0,Yarra City Council,Northern Metropolitan,4019.0
