Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,month
Abbotsford,2,h,1480000.0,S,Biggin,2016-03-12,2.5,1,1,202.0,Yarra City Council,-37.7996,144.9984,Northern Metropolitan,4019.0,3
Abbotsford,2,h,1035000.0,S,Biggin,2016-04-02,2.5,1,0,156.0,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019.0,4
Abbotsford,3,h,1465000.0,SP,Biggin,2017-04-03,2.5,2,0,134.0,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019.0,4
Abbotsford,3,h,850000.0,PI,Biggin,2017-04-03,2.5,2,1,94.0,Yarra City Council,-37.7969,144.9969,Northern Metropolitan,4019.0,4
Abbotsford,4,h,1600000.0,VB,Nelson,2016-04-06,2.5,1,2,120.0,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019.0,4
Abbotsford,2,h,941000.0,S,Jellis,2016-07-05,2.5,1,0,181.0,Yarra City Council,-37.8041,144.9953,Northern Metropolitan,4019.0,7
Abbotsford,3,h,1876000.0,S,Nelson,2016-07-05,2.5,2,0,245.0,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019.0,7
Abbotsford,2,h,1636000.0,S,Nelson,2016-08-10,2.5,1,2,256.0,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019.0,8
Abbotsford,3,h,1000000.0,S,Jellis,2016-08-10,2.5,1,2,648.7162568807339,Yarra City Council,,,Northern Metropolitan,4019.0,8
Abbotsford,2,t,745000.0,S,Jellis,2016-08-10,2.5,1,2,286.92402148887186,Yarra City Council,,,Northern Metropolitan,4019.0,8
Abbotsford,1,u,300000.0,S,Biggin,2016-08-10,2.5,1,1,0.0,Yarra City Council,-37.8008,144.9973,Northern Metropolitan,4019.0,8
Abbotsford,2,h,1097000.0,S,Biggin,2016-08-10,2.5,1,2,220.0,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019.0,8
Abbotsford,2,u,542000.0,S,Dingle,2016-08-10,2.5,1,1,477.8968565815324,Yarra City Council,,,Northern Metropolitan,4019.0,8
Abbotsford,2,u,760000.0,SP,Biggin,2016-10-12,2.5,1,1,477.8968565815324,Yarra City Council,,,Northern Metropolitan,4019.0,10
